Time (s),CI
0.3,0.6426397804414942
0.4,1.066846302592194
0.5,0.7734325968355226
0.6000000000000001,0.8476712168677879
0.7,0.9761871373842576
0.8,1.100907336715106
0.9000000000000001,0.9173858705990386
1.0,0.5845152836605848
1.1,0.7388191832387208
1.2,0.8680430655610523
1.3,1.0373878705800499
1.4000000000000001,0.9339188028320795
1.5000000000000002,1.064667695960646
1.6,0.9420728987680513
1.7000000000000002,1.3153681563749156
1.8,0.8008986791059743
1.9000000000000001,1.3111636121544457
2.0,0.8553051720671826
2.1,0.49461402547478656
2.2,0.42586926084813737
2.3,0.6750042565523894
2.4,0.6549779984317969
2.5,0.8511412424374617
2.6,0.8812374665299741
2.7,0.736027439265225
2.8,0.7769500354497924
2.9,0.8162869934583556
3.0,0.9638790564275058
3.1,0.9351889442423628
3.2,0.8625762925022814
3.3,0.9779043932365651
3.4,1.281580381897093
3.5,0.8691002141194402
3.6,1.0198154655597576
3.7,1.2548551851071337
3.8,1.3056587746827235
3.9,1.1904167878884053
4.0,1.1888117869119912
4.1000000000000005,0.6721849007207141
4.2,0.5711586997194869
4.3,0.6146146896426298
4.4,0.8064733808988358
4.5,1.3137478253745625
4.6,1.2216952908003995
4.7,1.1037630429820064
4.8,1.1884752616139136
4.9,1.3821221568098039
5.0,1.2794171858624734
5.1000000000000005,1.0088983522515305
5.2,0.7985933620682155
5.3,0.7411657063698079
5.4,0.605122053894285
5.5,0.4968330526044363
5.6000000000000005,0.9687592388764616
5.7,0.791510524160674
5.8,0.7220906013840491
5.9,0.7614969829731005
6.0,0.6722029862318198
6.1000000000000005,0.7846401313484519
6.2,0.6023518006571185
6.3,1.0154342558673064
6.4,0.7583922149814611
6.5,0.9454079695200635
6.6000000000000005,0.9103181084287107
6.7,0.6527815631447339
6.8,1.3108006582354332
6.9,1.0395659890033107
7.0,0.9880487184493378
7.1000000000000005,1.0602671005149995
7.2,0.7189631935018668
7.3,0.8295519247403051
7.4,0.946209716987766
7.5,1.0242783276809755
7.6000000000000005,0.9333066368612862
7.7,0.9769094298952324
7.8,0.6593795145769169
7.9,0.8747982723979163
8.0,0.9293861756091486
