Time (s),Accel X (m/s^2),Accel Y (m/s^2),Load S (%),Load X (%),Load Y (%),Load Z (%),CI Value
1.0,5.407029936250979,80.35352048259985,0.0,0.0,0.0,3.0,1.2854273265870415
1.000125,16.86624876116254,104.56918253121462,0.0,0.0,0.0,3.0,1.2854273265870415
1.00025,-10.41765464015267,-32.65295161062231,0.0,0.0,0.0,3.0,1.2854273265870415
1.000375,124.09186005825569,-138.7833821296322,0.0,0.0,0.0,3.0,1.2854273265870415
1.0005,-6.870752322887185,46.87007610943427,0.0,0.0,0.0,3.0,1.2854273265870415
1.000625,-84.62981277390284,-120.8458507967861,0.0,0.0,0.0,3.0,1.2854273265870415
1.00075,85.07589662687172,-71.21869477785182,0.0,0.0,0.0,3.0,1.2854273265870415
1.000875,93.26106221971567,62.11697012581979,0.0,0.0,0.0,3.0,1.2854273265870415
1.001,-182.30609211571195,-63.4457892817804,0.0,0.0,0.0,3.0,1.2854273265870415
1.001125,-94.4520228832957,22.65438108056029,0.0,0.0,0.0,3.0,1.2854273265870415
1.00125,146.46459567536712,10.696012463637299,0.0,0.0,0.0,3.0,1.2854273265870415
1.001375,-64.43978174686308,-112.47504701289502,0.0,0.0,0.0,3.0,1.2854273265870415
1.0015,-25.15099443687633,83.34298056565244,0.0,0.0,0.0,3.0,1.2854273265870415
1.001625,-76.71752590912837,-77.4968867225265,0.0,0.0,0.0,3.0,1.2854273265870415
1.00175,19.867386316209057,93.20860231492316,0.0,0.0,0.0,3.0,1.2854273265870415
1.001875,40.05744813404179,-7.241590302932425,0.0,0.0,0.0,3.0,1.2854273265870415
1.002,-97.99898062398847,75.27105841145328,0.0,0.0,0.0,3.0,1.2854273265870415
1.002125,121.90906309580505,-8.43743242945487,0.0,0.0,0.0,3.0,1.2854273265870415
1.00225,105.81157483715641,-99.3209383176262,0.0,0.0,0.0,3.0,1.2854273265870415
1.002375,62.9758734675477,22.953234461605415,0.0,0.0,0.0,3.0,1.2854273265870415
1.0025,-147.65565544344534,-10.829134726328947,0.0,0.0,0.0,3.0,1.2854273265870415
1.002625,-84.08424006252173,-35.94168347224438,0.0,0.0,0.0,3.0,1.2854273265870415
1.00275,227.7704778136258,-236.84208675178476,0.0,0.0,0.0,3.0,1.2854273265870415
1.002875,-3.8696517167922355,132.67109323151175,0.0,0.0,0.0,3.0,1.2854273265870415
1.003,-243.9677628386165,-53.580310399957035,0.0,0.0,0.0,3.0,1.2854273265870415
1.003125,-67.98675681411034,119.51687856856054,0.0,0.0,0.0,3.0,1.2854273265870415
1.00325,29.416662274105086,2.0260287445356955,0.0,0.0,0.0,3.0,1.2854273265870415
1.003375,-21.877033577187632,41.18963174612046,0.0,0.0,0.0,3.0,1.2854273265870415
1.0035,-14.783210468180995,60.32299500067129,0.0,0.0,0.0,3.0,1.2854273265870415
1.003625,-22.149881514464134,-26.375078381101464,0.0,0.0,0.0,3.0,1.2854273265870415
1.00375,-29.516526780191644,67.79694506752092,0.0,0.0,0.0,3.0,1.2854273265870415
1.003875,-68.80532640649558,-9.03548615534579,0.0,0.0,0.0,3.0,1.2854273265870415
1.004,34.87341508600713,-25.478242707889144,0.0,0.0,0.0,3.0,1.2854273265870415
1.004125,-3.8697132983781812,-14.416789036913604,0.0,0.0,0.0,3.0,1.2854273265870415
1.00425,57.24618149391154,-86.76483232416001,0.0,0.0,0.0,3.0,1.2854273265870415
1.004375,-9.326489594993292,-40.127258846090285,0.0,0.0,0.0,3.0,1.2854273265870415
1.0045,-51.88934245336479,-54.17834371621257,0.0,0.0,0.0,3.0,1.2854273265870415
1.004625,144.8274027890513,14.88114119131206,0.0,0.0,0.0,3.0,1.2854273265870415
1.00475,111.5410641655196,-0.36576539569732835,0.0,0.0,0.0,3.0,1.2854273265870415
1.004875,-6.598132237478681,-26.973119536368518,0.0,0.0,0.0,3.0,1.2854273265870415
1.005,117.27066434073745,39.0967828302915,0.0,0.0,0.0,3.0,1.2854273265870415
1.005125,21.231423931279316,4.118591925469975,0.0,0.0,0.0,3.0,1.2854273265870415
1.00525,23.95979976326971,-1.5616279318551634,0.0,0.0,0.0,3.0,1.2854273265870415
1.005375,3.4968900081604195,80.05412624621837,0.0,0.0,0.0,3.0,1.2854273265870415
1.0055,12.227726842923051,-42.51902237187036,0.0,0.0,0.0,3.0,1.2854273265870415
1.005625,13.591898789561078,-13.221061529191699,0.0,0.0,0.0,3.0,1.2854273265870415
1.00575,-14.510485694076383,45.37487036098336,0.0,0.0,0.0,3.0,1.2854273265870415
1.005875,81.52874239906457,-0.6648126682781232,0.0,0.0,0.0,3.0,1.2854273265870415
1.006,-6.0525164189874054,25.344610204314147,0.0,0.0,0.0,3.0,1.2854273265870415
1.006125,27.233809888227107,20.86021206387612,0.0,0.0,0.0,3.0,1.2854273265870415
1.00625,-97.72635438042137,7.108082622975632,0.0,0.0,0.0,3.0,1.2854273265870415
1.006375,87.53117876920243,-10.829451075676625,0.0,0.0,0.0,3.0,1.2854273265870415
1.0065,31.053541668293253,62.116510909024775,0.0,0.0,0.0,3.0,1.2854273265870415
1.006625,6.7708816586420895,14.880977914229387,0.0,0.0,0.0,3.0,1.2854273265870415
1.00675,9.226421869673114,37.60186281673526,0.0,0.0,0.0,3.0,1.2854273265870415
1.006875,-25.151259237695896,43.58101769364686,0.0,0.0,0.0,3.0,1.2854273265870415
1.007,27.779463803591316,-57.16813035343056,0.0,0.0,0.0,3.0,1.2854273265870415
1.007125,73.61635757771327,61.51852077784606,0.0,0.0,0.0,3.0,1.2854273265870415
1.00725,-46.70554957351531,-36.83895558681023,0.0,0.0,0.0,3.0,1.2854273265870415
1.007375,101.44590085619345,-41.32335372724826,0.0,0.0,0.0,3.0,1.2854273265870415
1.0075,-128.01150503571648,2.0256817807350167,0.0,0.0,0.0,3.0,1.2854273265870415
1.007625,-10.963689213428374,-51.48797172501143,0.0,0.0,0.0,3.0,1.2854273265870415
1.00775,-10.690859750627656,29.23091616539679,0.0,0.0,0.0,3.0,1.2854273265870415
1.007875,175.65801588283347,1.7266957370602811,0.0,0.0,0.0,3.0,1.2854273265870415
1.008,-165.1176123882659,10.097522296392897,0.0,0.0,0.0,3.0,1.2854273265870415
1.008125,-49.979645912693094,47.766348151868705,0.0,0.0,0.0,3.0,1.2854273265870415
1.00825,132.27664384526676,72.28096562970528,0.0,0.0,0.0,3.0,1.2854273265870415
1.008375,-143.01766197892368,-61.05471968360168,0.0,0.0,0.0,3.0,1.2854273265870415
1.0085,56.42743947308568,-110.68189611217134,0.0,0.0,0.0,3.0,1.2854273265870415
1.008625,89.71377867057804,-46.70470999871061,0.0,0.0,0.0,3.0,1.2854273265870415
1.00875,-211.77308191293167,-12.025494932746208,0.0,0.0,0.0,3.0,1.2854273265870415
1.008875,112.35938069944179,37.30273390561313,0.0,0.0,0.0,3.0,1.2854273265870415
1.009,-44.795760660464644,-82.87874303005458,0.0,0.0,0.0,3.0,1.2854273265870415
1.009125,-27.60691645374022,57.9308641014552,0.0,0.0,0.0,3.0,1.2854273265870415
1.00925,49.60643465848388,1.1286726256223603,0.0,0.0,0.0,3.0,1.2854273265870415
1.009375,-72.62532183945999,91.41424724571476,0.0,0.0,0.0,3.0,1.2854273265870415
1.0095,98.71741417734837,-53.28185737260707,0.0,0.0,0.0,3.0,1.2854273265870415
1.009625,41.96694145547989,11.89115045774072,0.0,0.0,0.0,3.0,1.2854273265870415
1.00975,-90.08702629977816,-31.756860889099684,0.0,0.0,0.0,3.0,1.2854273265870415
1.009875,-22.423025043353235,-124.4341276012485,0.0,0.0,0.0,3.0,1.2854273265870415
1.01,79.61866405255998,2.0254776843816766,0.0,0.0,0.0,3.0,1.2854273265870415
1.010125,62.975491661714834,28.33385598619574,0.0,0.0,0.0,3.0,1.2854273265870415
