Time (s),Accel Y (m/s^2),Accel Z (m/s^2)
0.0,0.56684142,1.11327804
0.0004879999999998219,0.5742774,1.10662686
0.0009759999999996438,0.58520574,1.10602845
0.0014649999999996055,0.56218167,1.10987397
0.0019530000000003156,0.56690028,1.10948157
0.0024410000000001375,0.58233141,1.11427866
0.0029289999999999594,0.57430683,1.11308184
0.003417999999999921,0.5616225,1.11222837
0.003905999999999743,0.56958822,1.11080592
0.004393999999999565,0.5851665,1.1079414
0.004882000000000275,0.57403215,1.10827494
0.005371000000000237,0.5676066,1.10773539
0.005859000000000059,0.57743622,1.10346804
0.0063469999999998805,0.58609845,1.10742147
0.006835999999999842,0.56748888,1.10907936
0.007323999999999664,0.56320191,1.1079414
0.007812000000000374,0.57927069,1.10645028
0.008300000000000196,0.57426759,1.10850057
0.008789000000000158,0.56842083,1.11079611
0.00927699999999998,0.57632769,1.1100996
0.009764999999999802,0.58364595,1.10668572
0.010253999999999763,0.56709648,1.10966796
0.010741999999999585,0.56733192,1.11187521
0.011230000000000295,0.5749641,1.11122775
0.011718000000000117,0.57832893,1.11072744
0.012207000000000079,0.56873475,1.11237552
0.0126949999999999,0.5744736,1.1103939
0.013182999999999723,0.59068953,1.10649933
0.013671999999999684,0.57764223,1.11151224
0.014160000000000394,0.56703762,1.10817684
0.014648000000000216,0.58177224,1.10665629
0.015136000000000038,0.59076801,1.10808855
0.015625,0.56722401,1.10939328
0.016112999999999822,0.56974518,1.10433132
0.016600999999999644,0.58529403,1.10654838
0.017089999999999606,0.577809,1.10962872
0.017578000000000316,0.56453607,1.10712717
0.018066000000000138,0.57361032,1.10729394
0.01855399999999996,0.58466619,1.10761767
0.01904299999999992,0.56462436,1.11022713
0.019530999999999743,0.56363355,1.11143376
0.020018999999999565,0.57493467,1.11007998
0.020507000000000275,0.57556251,1.10946195
0.020996000000000237,0.56814615,1.11208122
0.02148400000000006,0.57335526,1.11114927
0.02197199999999988,0.5861475,1.10989359
0.022460999999999842,0.57738717,1.10820627
0.022948999999999664,0.56673351,1.10801007
0.023437000000000374,0.57374766,1.10954043
0.023925000000000196,0.57675933,1.10836323
0.024414000000000158,0.5605434,1.11129642
0.02490199999999998,0.56424177,1.11136509
0.0253899999999998,0.58249818,1.10820627
0.025878999999999763,0.57905487,1.11026637
0.026366999999999585,0.56522277,1.10720565
0.026855000000000295,0.56798919,1.10507688
0.027343000000000117,0.57940803,1.10953062
0.02783200000000008,0.57100086,1.11237552
0.0283199999999999,0.56811672,1.1089224
0.028807999999999723,0.57723021,1.11010941
0.029296999999999684,0.58838418,1.1058813
0.029785000000000394,0.57305115,1.10835342
0.030273000000000216,0.57139326,1.1122578
0.03076100000000004,0.5852646,1.106568
0.03125,0.5755527,1.10669553
0.03173799999999982,0.56492847,1.10354652
0.032225999999999644,0.57397329,1.1074509
0.032714999999999606,0.58865886,1.11146319
0.033203000000000316,0.56696895,1.10776482
0.03369100000000014,0.56634111,1.10783349
0.03417899999999996,0.58137003,1.1090205
0.03466799999999992,0.57940803,1.10916765
0.03515599999999974,0.56777337,1.10682306
0.035643999999999565,0.57536631,1.11276792
0.036132000000000275,0.58231179,1.10894202
0.03662100000000024,0.57501315,1.11175749
0.03710900000000006,0.5727078,1.10933442
0.03759699999999988,0.57590586,1.10461581
0.03808599999999984,0.58707945,1.10515536
0.038573999999999664,0.57961404,1.10993283
0.039062000000000374,0.57566061,1.10766672
0.039550000000000196,0.5815368,1.10591073
0.04003900000000016,0.5818311,1.10587149
0.04052699999999998,0.5701572,1.10766672
0.0410149999999998,0.56484999,1.10603826
0.04150399999999976,0.58731489,1.10788254
0.041991999999999585,0.57691629,1.11291507
0.042480000000000295,0.56709648,1.11220875
0.04296800000000012,0.58043808,1.11170844
0.04345700000000008,0.58404816,1.11067839
0.0439449999999999,0.56460474,1.10837304
0.04443299999999972,0.56635092,1.10923632
0.044921999999999684,0.587619,1.1103939
0.045410000000000394,0.58319469,1.10871639
0.045898000000000216,0.56718477,1.10583225
0.04638600000000004,0.57449322,1.10746071
0.046875,0.58886487,1.10807874
0.04736299999999982,0.57566061,1.1062737
0.047850999999999644,0.56735154,1.10800026
0.048339999999999606,0.5795748,1.10582244
0.048828000000000316,0.58611807,1.10278134
0.04931600000000014,0.56852874,1.10665629
0.04980399999999996,0.57226635,1.10540061
0.05029299999999992,0.58620636,1.10403702
0.05078099999999974,0.5732964,1.10629332
0.051268999999999565,0.56757717,1.10706831
0.051757000000000275,0.57724983,1.10573415
0.05224600000000024,0.58592187,1.10478258
0.05273400000000006,0.57205053,1.10404683
0.05322199999999988,0.57023568,1.10551833
0.05371099999999984,0.58491144,1.10178072
0.054198999999999664,0.58292982,1.10585187
0.054687000000000374,0.57018663,1.10582244
0.055175000000000196,0.57387519,1.10520441
0.05566400000000016,0.59177844,1.10458638
0.05615199999999998,0.57864285,1.10727432
0.0566399999999998,0.56249559,1.10590092
0.05712899999999976,0.58040865,1.10262438
0.057616999999999585,0.58661838,1.10563605
0.058105000000000295,0.56988252,1.1073528
0.05859300000000012,0.56773413,1.10708793
0.05908200000000008,0.58887468,1.10224179
0.0595699999999999,0.58226274,1.10240856
0.06005799999999972,0.56566422,1.10422341
0.060546999999999684,0.57217806,1.10849076
0.061035000000000394,0.58072257,1.1088243
0.061523000000000216,0.56422215,1.10868696
0.06201100000000004,0.57032397,1.10504745
0.0625,0.58950252,1.10562624
0.06298799999999982,0.58429341,1.10493954
0.06347599999999964,0.57076542,1.10251647
0.0639649999999996,0.57337488,1.10510631
0.06445300000000032,0.5894829,1.10426265
0.06494100000000014,0.57295305,1.10469429
0.06542899999999996,0.56208357,1.1027421
0.06591799999999992,0.58100706,1.10731356
0.06640599999999974,0.58488201,1.10755881
0.06689399999999956,0.5671161,1.10919708
0.06738200000000028,0.56698857,1.10899107
0.06787100000000024,0.58097763,1.10603826
0.06835900000000006,0.57158946,1.10818665
0.06884699999999988,0.56984328,1.10835342
