Time (s),Y Axis (m/s^2),Z Axis (m/s^2)
0.09082,0.58720698,1.10587149
0.091309,0.57370842,1.11129642
0.091797,0.55944468,1.10661705
0.092285,0.58249818,1.10744109
0.092773,0.58500954,1.10975625
0.093262,0.56959803,1.10592054
0.09375,0.57678876,1.10467467
0.094238,0.5883057,1.10664648
0.094727,0.58129155,1.10471391
0.095215,0.57326697,1.10629332
0.095703,0.58224312,1.10575377
0.096191,0.57803463,1.10585187
0.09668,0.57674952,1.10592054
0.097168,0.5731002,1.10888316
0.097656,0.57068694,1.10640123
0.098145,0.57717135,1.10482182
0.098633,0.57328659,1.1094129
0.099121,0.5636826,1.10808855
0.099609,0.57878019,1.10585187
0.100098,0.57916278,1.10798064
0.100586,0.5643693,1.10678382
0.101074,0.57612168,1.10428227
0.101563,0.58272381,1.1040174
0.102051,0.57686724,1.10471391
0.102539,0.57119706,1.10572434
0.103027,0.58888449,1.10570472
0.103516,0.58807026,1.10590092
0.104004,0.57724983,1.1054889
0.104492,0.57441474,1.10554776
0.10498,0.583695,1.10349747
0.105469,0.58488201,1.10776482
0.105957,0.56952936,1.10636199
0.106445,0.5772204,1.10553795
0.106934,0.58996359,1.1066661
0.107422,0.57645522,1.10894202
0.10791,0.56637054,1.10800026
0.108398,0.58446018,1.10681325
0.108887,0.57389481,1.11130623
0.109375,0.56654712,1.10306583
0.109863,0.58050675,1.10937366
0.110352,0.58108554,1.10910879
0.11084,0.57655332,1.10263419
0.111328,0.57628845,1.10574396
0.111816,0.58227255,1.10596959
0.112305,0.58346937,1.10064276
0.112793,0.57848589,1.10247723
0.113281,0.57425778,1.102644
0.11377,0.58636332,1.10153547
0.114258,0.5893848,1.10699964
0.114746,0.56983347,1.10536137
0.115234,0.57665142,1.1027421
0.115723,0.5918373,1.10887335
0.116211,0.57645522,1.10839266
0.116699,0.56793033,1.10199654
0.117188,0.58600035,1.11143376
0.117676,0.58156623,1.11048219
0.118164,0.56887209,1.10643066
0.118652,0.57850551,1.1062737
0.119141,0.58257666,1.1059794
0.119629,0.57676914,1.10655819
0.120117,0.57426759,1.10551833
0.120605,0.58292982,1.1060775
0.121094,0.58056561,1.10259495
0.121582,0.57469923,1.10376234
0.12207,0.57188376,1.10430189
0.122559,0.58492125,1.10543985
0.123047,0.58615731,1.10621484
0.123535,0.57352203,1.10573415
0.124023,0.57660237,1.10216331
0.124512,0.58922784,1.10674458
0.125,0.57326697,1.10756862
0.125488,0.56733192,1.10524365
0.125977,0.58433265,1.10170224
0.126465,0.57638655,1.10528289
0.126953,0.57491505,1.10373291
0.127441,0.58235103,1.10320317
0.12793,0.57784824,1.106568
0.128418,0.57691629,1.10457657
0.128906,0.57708306,1.1071566
0.129395,0.5693724,1.10464524
0.129883,0.57530745,1.10483163
0.130371,0.58022226,1.1080395
0.130859,0.56753793,1.10718603
