Time (s),Accel X (m/s^2),Accel Y (m/s^2),Accel Z (m/s^2)
0.0,-0.0990955235481262,0.13326945848465,-0.0894451852798465
0.000605693519079346,-0.209266421985626,-0.20442829542160001,0.190772099876404
0.00121138703815869,-0.15657599229812602,-0.0655171626091004,0.159636845970154
0.00181708055723804,-0.429608218860626,-0.046357006359100304,-0.058309931373596496
0.00242277407631738,-0.369732730579376,-0.048752025890350305,0.0662310842514035
0.00302846759539673,-0.218846500110626,-0.0583321040153503,0.20753723659515402
0.00363416111447607,-0.240401675891876,-0.051147045421600305,0.20274719753265402
0.00423985463355542,-0.13262579698562602,-0.0343819087028503,0.171611943626404
0.00484554815263477,-0.331412418079376,-0.0343819087028503,0.035095830345153504
0.00545124167171411,-0.35775763292312596,-0.10383747510909999,0.116526494407654
0.00605693519079346,0.037420589733123795,-0.19245319776535003,0.17400696315765402
0.0066626287098728,0.06616082410812381,-0.0176167719841003,-0.0918402048110965
0.00726832222895215,-0.252376773548126,-0.0679121821403504,0.166821904563904
0.0078740157480315,-0.218846500110626,-0.0343819087028503,0.21711731472015403
0.00847970926711084,-0.20687140245437602,-0.0008516352653503479,0.025515752220153502
0.00908540278619019,-0.31704230089187596,-0.22837849073410002,0.293757939720154
0.00969109630526953,-0.173341129016876,-0.08467731885910039,0.0087506155014035
0.0102967898243489,-0.22603155870437602,-0.043961986827850304,-0.0367547555923465
0.0109024833434282,-0.0416150547981262,-0.1613179438591,0.38955872097015404
0.0115081768625076,-0.22603155870437602,-0.0152217524528503,-0.0463348337173465
0.0121138703815869,-0.38649786729812596,-0.0367769282341003,0.509309697532654
0.0127195639006663,-0.149390933704376,-0.13497272901535,0.571580205345154
0.0133252574197456,-0.16136603136062602,-0.21640339307785,-0.0678900094985965
0.013930950938825,-0.18771124620437601,-0.0008516352653503479,0.0853912405014035
0.0145366444579043,-0.14699591417312602,-0.1134175532341,0.0590460256576535
0.0151423379769836,0.039815609264373795,-0.00324665479660035,0.0877862600326535
0.015748031496063,-0.0967005040168762,0.0230985600471497,0.0015655569076535002
0.0163537250151423,-0.15178595323562602,-0.10862751417159999,0.12850159206390402
0.0169594185342217,-0.252376773548126,-0.13257770948410003,0.154846806907654
0.017565112053301,-0.240401675891876,-0.24035358839035,-0.0654949899673465
0.0181708055723804,-0.0775403477668762,-0.17808308057785002,-0.118185419654846
0.0187764990914597,-0.233216617298126,-0.08467731885910039,0.19795715847015402
0.0193821926105391,-0.46792853136062595,-0.0798872797966004,0.262622685813904
0.0199878861296184,-0.400867984485626,-0.1182075922966,0.19795715847015402
0.0205935796486978,-0.309857242298126,0.13566447801589998,-0.0511248727798465
0.0211992731677771,-0.393682925891876,0.0542338139533997,-0.029569696998596497
0.0218049666868564,-0.21166144151687602,-0.13976276807785,0.0925762990951535
0.0224106602059358,-0.0272449376106262,-0.22358845167160002,-0.13734557590484597
0.0230163537250151,-0.245191714954376,-0.0655171626091004,-0.0367547555923465
0.0236220472440945,-0.381707828235626,-0.09186237745285039,0.109341435813904
0.0242277407631738,-0.0943054844856262,-0.1421577876091,0.166821904563904
0.0248334342822532,-0.25716681261062596,-0.051147045421600305,0.0590460256576535
0.0254391278013325,-0.441583316516876,-0.0343819087028503,-0.0151995798110965
0.0260448213204119,-0.144600894641876,-0.0367769282341003,-0.0415447946548465
0.0266505148394912,-0.21166144151687602,-0.1469478266716,0.16921692409515401
0.0272562083585706,-0.223636539173126,-0.10383747510909999,-0.029569696998596497
0.0278619018776499,-0.101490543079376,-0.00803669385910035,0.21711731472015403
0.0284675953967293,-0.218846500110626,0.039863696765899695,0.442249150657654
0.0290732889158086,-0.422423160266876,-0.18766315870285002,0.322498174095154
0.0296789824348879,-0.329017398548126,-0.13497272901535,0.190772099876404
0.0302846759539673,-0.290697086048126,-0.0224068110466003,0.0662310842514035
0.0308903694730466,-0.429608218860626,-0.1229976313591,0.195562138938904
